work_year,experience_level,job_title,salary,salary_currency,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,Data Scientist,183500,USD,FT,183500,US,100,US,M
2023,SE,Data Scientist,218500,USD,FT,218500,US,100,US,M
2023,SE,Data Scientist,199098,USD,FT,199098,US,100,US,M
2023,SE,Data Engineer,203300,USD,FT,203300,US,100,US,M
2023,SE,Data Engineer,123600,USD,FT,123600,US,100,US,M
2023,SE,Research Engineer,189110,USD,FT,189110,US,0,US,M
2023,SE,Research Engineer,139000,USD,FT,139000,US,0,US,M
2023,EX,Data Scientist,258750,USD,FT,258750,US,0,US,M
2023,EX,Data Scientist,185000,USD,FT,185000,US,0,US,M
2023,SE,Data Engineer,231500,USD,FT,231500,US,100,US,M
2023,SE,Data Engineer,166000,USD,FT,166000,US,100,US,M
2023,SE,Data Scientist,172500,USD,FT,172500,US,100,US,M
2023,SE,Data Scientist,110500,USD,FT,110500,US,100,US,M
2023,SE,Data Engineer,238000,USD,FT,238000,US,0,US,M
2023,SE,Data Engineer,176000,USD,FT,176000,US,0,US,M
2023,SE,Data Engineer,237000,USD,FT,237000,US,100,US,M
2023,SE,Data Engineer,201450,USD,FT,201450,US,100,US,M
2023,SE,Applied Scientist,309400,USD,FT,309400,US,0,US,L
2023,SE,Applied Scientist,159100,USD,FT,159100,US,0,US,L
2023,SE,Data Engineer,115000,USD,FT,115000,US,0,US,M
2023,SE,Data Engineer,81500,USD,FT,81500,US,0,US,M
2023,SE,Data Scientist,237000,USD,FT,237000,US,100,US,M
2023,SE,Data Scientist,201450,USD,FT,201450,US,100,US,M
2023,SE,Computer Vision Engineer,280000,USD,FT,280000,US,0,US,M
2023,SE,Computer Vision Engineer,210000,USD,FT,210000,US,0,US,M
2023,SE,Data Architect,280100,USD,FT,280100,US,100,US,M
2023,SE,Data Architect,168100,USD,FT,168100,US,100,US,M
2023,SE,Data Engineer,193500,USD,FT,193500,US,100,US,M
2023,SE,Data Engineer,139000,USD,FT,139000,US,100,US,M
2023,MI,Data Scientist,510000,HKD,FT,65062,HK,0,HK,L
2023,SE,Machine Learning Engineer,150000,USD,FT,150000,PT,100,US,M
2023,MI,Applied Machine Learning Engineer,65000,EUR,FT,69751,IN,100,DE,S
2022,EN,AI Developer,300000,USD,FT,300000,IN,50,IN,L
2023,MI,Machine Learning Engineer,90000,EUR,FT,96578,NL,100,NL,L
2023,SE,Business Intelligence Engineer,185900,USD,FT,185900,US,0,US,M
2023,SE,Business Intelligence Engineer,129300,USD,FT,129300,US,0,US,M
2023,SE,Data Engineer,225000,USD,FT,225000,US,100,US,M
2023,SE,Data Engineer,175000,USD,FT,175000,US,100,US,M
2023,SE,Data Engineer,185000,USD,FT,185000,US,0,US,M
2023,SE,Data Engineer,140000,USD,FT,140000,US,0,US,M
2023,SE,Data Scientist,45000,EUR,FT,48289,ES,0,ES,M
2023,SE,Data Scientist,36000,EUR,FT,38631,ES,0,ES,M
2023,SE,Data Scientist,105000,USD,FT,105000,US,0,US,M
2023,SE,Data Scientist,70000,USD,FT,70000,US,0,US,M
2023,EN,Machine Learning Engineer,163196,USD,FT,163196,US,0,US,M
2023,EN,Machine Learning Engineer,145885,USD,FT,145885,US,0,US,M
2023,SE,Data Engineer,217000,USD,FT,217000,US,100,US,M
2023,SE,Data Engineer,185000,USD,FT,185000,US,100,US,M
2023,SE,Data Analyst,202800,USD,FT,202800,US,0,US,L
2023,SE,Data Analyst,104300,USD,FT,104300,US,0,US,L
2023,SE,Data Analyst,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Analyst,65000,USD,FT,65000,US,0,US,M
2023,SE,Data Engineer,165000,USD,FT,165000,US,0,US,M
2023,SE,Data Engineer,132300,USD,FT,132300,US,0,US,M
2023,SE,Data Engineer,179170,USD,FT,179170,US,0,US,M
2023,SE,Data Engineer,94300,USD,FT,94300,US,0,US,M
2023,SE,Analytics Engineer,152500,USD,FT,152500,US,0,US,M
2023,SE,Analytics Engineer,116450,USD,FT,116450,US,0,US,M
2023,SE,Data Engineer,247300,USD,FT,247300,US,0,US,M
2023,SE,Data Engineer,133800,USD,FT,133800,US,0,US,M
2023,SE,Research Engineer,203000,USD,FT,203000,US,0,US,M
2023,SE,Research Engineer,133000,USD,FT,133000,US,0,US,M
2023,EN,Research Scientist,220000,USD,FT,220000,US,50,US,L
2022,EN,Machine Learning Engineer,54000,CHF,FT,56536,CH,100,CH,S
2023,SE,Data Scientist,150000,USD,FT,150000,US,0,US,M
2023,SE,Data Scientist,120000,USD,FT,120000,US,0,US,M
2023,SE,Analytics Engineer,289800,USD,FT,289800,US,0,US,M
2023,SE,Analytics Engineer,214000,USD,FT,214000,US,0,US,M
2023,SE,Analytics Engineer,179820,USD,FT,179820,US,0,US,M
2023,SE,Analytics Engineer,143860,USD,FT,143860,US,0,US,M
2023,SE,Machine Learning Engineer,283200,USD,FT,283200,US,100,US,M
2023,SE,Machine Learning Engineer,188800,USD,FT,188800,US,100,US,M
2023,SE,Analytics Engineer,289800,USD,FT,289800,US,0,US,M
2023,SE,Analytics Engineer,214200,USD,FT,214200,US,0,US,M
2023,SE,Data Engineer,185900,USD,FT,185900,US,0,US,M
2023,SE,Data Engineer,129300,USD,FT,129300,US,0,US,M
2023,SE,Data Engineer,252000,USD,FT,252000,US,0,US,M
2023,SE,Data Engineer,129000,USD,FT,129000,US,0,US,M
2023,MI,Data Analytics Manager,155000,USD,FT,155000,US,0,US,M
2023,MI,Data Analytics Manager,140000,USD,FT,140000,US,0,US,M
2023,SE,Data Engineer,161800,USD,FT,161800,US,100,US,M
2023,SE,Data Engineer,141600,USD,FT,141600,US,100,US,M
2023,SE,Machine Learning Engineer,342300,USD,FT,342300,US,0,US,L
2023,SE,Machine Learning Engineer,176100,USD,FT,176100,US,0,US,L
2023,MI,Data Engineer,100000,USD,FT,100000,US,100,US,M
2023,MI,Data Engineer,70000,USD,FT,70000,US,100,US,M
2023,EN,Data Engineer,85000,USD,FT,85000,US,0,US,M
2023,EN,Data Engineer,65000,USD,FT,65000,US,0,US,M
2023,SE,Data Scientist,138784,USD,FT,138784,US,100,US,M
2023,SE,Data Scientist,83270,USD,FT,83270,US,100,US,M
2023,EN,Data Analyst,75000,USD,FT,75000,US,0,US,M
2023,EN,Data Analyst,70000,USD,FT,70000,US,0,US,M
2023,SE,Data Analyst,204500,USD,FT,204500,US,0,US,M
2023,SE,Data Analyst,138900,USD,FT,138900,US,0,US,M
2023,SE,Machine Learning Engineer,318300,USD,FT,318300,US,100,US,M
2023,SE,Machine Learning Engineer,212200,USD,FT,212200,US,100,US,M
2023,SE,Data Engineer,95000,USD,FT,95000,US,100,US,M
2023,SE,Data Engineer,75000,USD,FT,75000,US,100,US,M
2023,SE,Data Scientist,195000,USD,FT,195000,US,0,US,M
2023,SE,Data Scientist,160000,USD,FT,160000,US,0,US,M
2023,SE,Analytics Engineer,230000,USD,FT,230000,US,0,US,M
2023,SE,Analytics Engineer,143200,USD,FT,143200,US,0,US,M
2023,MI,Data Engineer,100000,USD,FT,100000,US,100,US,M
2023,MI,Data Engineer,70000,USD,FT,70000,US,100,US,M
2023,MI,Business Data Analyst,105000,USD,FT,105000,US,50,US,L
2023,MI,Applied Data Scientist,1700000,INR,FT,20670,IN,100,IN,L
2023,MI,Data Analyst,38000,GBP,FT,46178,GB,0,GB,M
2023,MI,Data Analyst,35000,GBP,FT,42533,GB,0,GB,M
2023,SE,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Engineer,115000,USD,FT,115000,US,0,US,M
2023,SE,Data Analyst,168400,USD,FT,168400,US,0,US,M
2023,SE,Data Analyst,105200,USD,FT,105200,US,0,US,M
2023,SE,Applied Scientist,309400,USD,FT,309400,US,0,US,L
2023,SE,Applied Scientist,159100,USD,FT,159100,US,0,US,L
2023,SE,Machine Learning Engineer,190000,USD,FT,190000,US,0,US,M
2023,SE,Machine Learning Engineer,150000,USD,FT,150000,US,0,US,M
2023,MI,Data Engineer,162500,USD,FT,162500,US,0,US,M
2023,MI,Data Engineer,130000,USD,FT,130000,US,0,US,M
2023,SE,Analytics Engineer,150000,USD,FT,150000,US,100,US,M
2023,SE,Analytics Engineer,120000,USD,FT,120000,US,100,US,M
2023,SE,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Engineer,120000,USD,FT,120000,US,0,US,M
2023,SE,Applied Scientist,222200,USD,FT,222200,US,0,US,L
2023,SE,Applied Scientist,136000,USD,FT,136000,US,0,US,L
2023,SE,Data Analyst,45000,GBP,FT,54685,CF,100,CF,M
2023,SE,Data Analyst,35000,GBP,FT,42533,CF,100,CF,M
2023,SE,Data Engineer,241000,USD,FT,241000,US,0,US,M
2023,SE,Data Engineer,155000,USD,FT,155000,US,0,US,M
2023,SE,Data Engineer,220000,USD,FT,220000,US,100,US,M
2023,SE,Data Engineer,190000,USD,FT,190000,US,100,US,M
2023,MI,Data Scientist,55000,GBP,FT,66837,GB,0,GB,M
2023,MI,Data Scientist,45000,GBP,FT,54685,GB,0,GB,M
2020,EX,Staff Data Analyst,15000,USD,FT,15000,NG,0,CA,M
2023,MI,ETL Engineer,70000,GBP,FT,85066,GB,100,GB,M
2023,MI,ETL Engineer,47500,GBP,FT,57723,GB,100,GB,M
2023,EN,Data Analyst,85000,USD,FT,85000,US,100,US,M
2023,EN,Data Analyst,75000,USD,FT,75000,US,100,US,M
2023,SE,Data Engineer,160000,USD,FT,160000,US,0,US,M
2023,SE,Data Engineer,140000,USD,FT,140000,US,0,US,M
2023,MI,Machine Learning Engineer,300000,USD,FT,300000,US,0,US,M
2023,MI,Machine Learning Engineer,250000,USD,FT,250000,US,0,US,M
2023,SE,Data Scientist,228000,USD,FT,228000,US,0,US,M
2023,SE,Data Scientist,186000,USD,FT,186000,US,0,US,M
2023,SE,Data Scientist,190000,USD,FT,190000,US,0,US,M
2023,SE,Data Scientist,170000,USD,FT,170000,US,0,US,M
2023,MI,Research Engineer,230000,USD,FT,230000,US,0,US,M
2023,MI,Research Engineer,200000,USD,FT,200000,US,0,US,M
2023,SE,Data Architect,180000,USD,FT,180000,US,100,US,M
2023,SE,Data Architect,115000,USD,FT,115000,US,100,US,M
2023,SE,Data Architect,200000,USD,FT,200000,US,100,US,M
2023,SE,Data Architect,115000,USD,FT,115000,US,100,US,M
2023,SE,Data DevOps Engineer,50000,EUR,FT,53654,FR,50,FR,S
2023,EX,Data Engineer,220000,USD,FT,220000,US,0,US,M
2023,EX,Data Engineer,205000,USD,FT,205000,US,0,US,M
2023,MI,Data Engineer,180000,USD,FT,180000,US,0,US,M
2023,MI,Data Engineer,130000,USD,FT,130000,US,0,US,M
2023,SE,Data Engineer,200000,USD,FT,200000,US,100,US,M
2023,SE,Data Engineer,150000,USD,FT,150000,US,100,US,M
2023,SE,Computer Vision Engineer,215000,USD,FT,215000,US,0,US,M
2023,SE,Computer Vision Engineer,170000,USD,FT,170000,US,0,US,M
2023,SE,Machine Learning Engineer,247500,USD,FT,247500,US,0,US,M
2023,SE,Machine Learning Engineer,172200,USD,FT,172200,US,0,US,M
2023,SE,Data Scientist,224000,USD,FT,224000,CA,0,CA,M
2023,SE,Data Scientist,176000,USD,FT,176000,CA,0,CA,M
2023,SE,Data Analyst,120000,USD,FT,120000,US,100,US,M
2023,SE,Data Analyst,75000,USD,FT,75000,US,100,US,M
2023,EN,Data Engineer,1400000,INR,FT,17022,IN,100,IN,L
2023,SE,Applied Data Scientist,100000,AUD,FT,68318,AU,100,FI,M
2023,MI,AI Developer,100000,SGD,FT,75020,FI,0,FI,M
2023,SE,Data Analyst,140000,USD,FT,140000,US,0,US,M
2023,SE,Data Analyst,120000,USD,FT,120000,US,0,US,M
2023,SE,Data Engineer,128000,USD,FT,128000,US,0,US,M
2023,SE,Data Engineer,81500,USD,FT,81500,US,0,US,M
2023,SE,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Engineer,115000,USD,FT,115000,US,0,US,M
2023,SE,Data Engineer,185000,USD,FT,185000,US,0,US,M
2023,SE,Data Engineer,140000,USD,FT,140000,US,0,US,M
2023,EX,Head of Data,329500,USD,FT,329500,US,0,US,M
2023,EX,Head of Data,269600,USD,FT,269600,US,0,US,M
2023,SE,Data Quality Analyst,100000,USD,FT,100000,US,0,US,M
2023,SE,Data Quality Analyst,80000,USD,FT,80000,US,0,US,M
2023,SE,Data Scientist,250000,USD,FT,250000,US,0,US,M
2023,SE,Data Scientist,162500,USD,FT,162500,US,0,US,M
2023,MI,AI Developer,200000,USD,FT,200000,US,100,US,M
2023,SE,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Engineer,100000,USD,FT,100000,US,0,US,M
2023,EX,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,EX,Data Engineer,115000,USD,FT,115000,US,0,US,M
2023,SE,Data Scientist,203500,USD,FT,203500,US,0,US,M
2023,SE,Data Scientist,152000,USD,FT,152000,US,0,US,M
2023,SE,Data Scientist,239000,USD,FT,239000,US,0,US,L
2023,SE,Data Scientist,122900,USD,FT,122900,US,0,US,L
2023,SE,Data Scientist,237000,USD,FT,237000,US,0,US,M
2023,SE,Data Scientist,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Science Manager,191765,USD,FT,191765,US,0,US,M
2023,SE,Data Science Manager,134236,USD,FT,134236,US,0,US,M
2023,SE,Analytics Engineer,190000,USD,FT,190000,US,100,US,M
2023,SE,Analytics Engineer,112000,USD,FT,112000,US,100,US,M
2022,SE,Data Scientist,84000,EUR,FT,88256,ES,100,GB,L
2023,EN,Data Engineer,85000,USD,FT,85000,US,0,US,M
2023,EN,Data Engineer,65000,USD,FT,65000,US,0,US,M
2023,SE,Data Analyst,135000,USD,FT,135000,US,0,US,M
2023,SE,Data Analyst,105500,USD,FT,105500,US,0,US,M
2023,SE,Research Engineer,293000,USD,FT,293000,US,0,US,M
2023,SE,Research Engineer,185000,USD,FT,185000,US,0,US,M
2023,SE,Data Analyst,80000,USD,FT,80000,US,0,US,M
2023,SE,Data Analyst,70000,USD,FT,70000,US,0,US,M
2023,SE,Data Engineer,220000,USD,FT,220000,US,100,US,M
2023,SE,Data Engineer,160000,USD,FT,160000,US,100,US,M
2023,SE,Data Scientist,175000,USD,FT,175000,US,100,US,M
2023,SE,Data Scientist,145000,USD,FT,145000,US,100,US,M
2023,SE,Data Analyst,200000,USD,FT,200000,US,0,US,M
2023,SE,Data Analyst,148500,USD,FT,148500,US,0,US,M
2023,SE,Data Scientist,45000,EUR,FT,48289,ES,0,ES,M
2023,SE,Data Scientist,36000,EUR,FT,38631,ES,0,ES,M
2023,SE,Data Engineer,240500,USD,FT,240500,US,0,US,L
2023,SE,Data Engineer,123700,USD,FT,123700,US,0,US,L
2023,SE,Analytics Engineer,152900,USD,FT,152900,US,100,US,M
2023,SE,Analytics Engineer,117100,USD,FT,117100,US,100,US,M
2023,SE,Analytics Engineer,173000,USD,FT,173000,US,100,US,M
2023,SE,Analytics Engineer,113000,USD,FT,113000,US,100,US,M
2023,SE,Applied Scientist,260000,USD,FT,260000,US,0,US,L
2023,SE,Applied Scientist,136000,USD,FT,136000,US,0,US,L
2023,EX,Data Engineer,175000,USD,FT,175000,US,0,US,M
2023,EX,Data Engineer,110000,USD,FT,110000,US,0,US,M
2023,SE,Applied Scientist,260000,USD,FT,260000,US,0,US,L
2023,SE,Applied Scientist,136000,USD,FT,136000,US,0,US,L
2023,SE,Research Scientist,130000,USD,FT,130000,US,100,US,M
2023,SE,Research Scientist,110000,USD,FT,110000,US,100,US,M
2023,SE,Applied Scientist,205000,USD,FT,205000,US,100,US,M
2023,SE,Applied Scientist,184000,USD,FT,184000,US,100,US,M
2023,SE,Data Analyst,149500,USD,FT,149500,US,100,US,M
2023,SE,Data Analyst,127075,USD,FT,127075,US,100,US,M
2023,SE,Data Scientist,195000,USD,FT,195000,US,0,US,M
2023,SE,Data Scientist,160000,USD,FT,160000,US,0,US,M
2023,SE,Data Engineer,219535,USD,FT,219535,US,100,US,M
2023,SE,Data Engineer,146115,USD,FT,146115,US,100,US,M
2023,SE,Data Scientist,170000,USD,FT,170000,US,0,US,M
2023,SE,Data Scientist,135000,USD,FT,135000,US,0,US,M
2023,SE,Data Scientist,175000,USD,FT,175000,US,100,US,M
2023,SE,Data Scientist,145000,USD,FT,145000,US,100,US,M
2023,SE,Data Scientist,199000,USD,FT,199000,US,0,US,M
2023,SE,Data Scientist,162000,USD,FT,162000,US,0,US,M
2023,SE,Applied Scientist,222200,USD,FT,222200,US,0,US,L
2023,SE,Applied Scientist,136000,USD,FT,136000,US,0,US,L
2023,EX,Analytics Engineer,221000,USD,FT,221000,US,100,US,M
2023,EX,Analytics Engineer,153000,USD,FT,153000,US,100,US,M
2023,SE,Data Analyst,187000,USD,FT,187000,US,0,US,M
2023,SE,Data Analyst,128000,USD,FT,128000,US,0,US,M
2023,SE,Research Scientist,210000,USD,FT,210000,US,0,US,M
2023,SE,Research Scientist,136000,USD,FT,136000,US,0,US,M
2023,SE,Data Scientist,175000,USD,FT,175000,US,100,US,M
2023,SE,Data Scientist,100000,USD,FT,100000,US,100,US,M
2023,SE,Data Engineer,179000,USD,FT,179000,US,0,US,M
2023,SE,Data Engineer,109000,USD,FT,109000,US,0,US,M
2023,SE,Data Scientist,245000,USD,FT,245000,US,0,US,M
2023,SE,Data Scientist,180000,USD,FT,180000,US,0,US,M
2023,SE,Data Analyst,142000,USD,FT,142000,US,100,US,M
2023,SE,Data Analyst,75000,USD,FT,75000,US,100,US,M
2023,SE,Data Manager,198800,USD,FT,198800,US,0,US,M
2023,SE,Data Manager,105200,USD,FT,105200,US,0,US,M
2023,SE,Data Analyst,125000,USD,FT,125000,US,100,US,M
2023,SE,Data Analyst,112000,USD,FT,112000,US,100,US,M
2023,SE,Data Scientist,210000,USD,FT,210000,US,0,US,M
2023,SE,Data Scientist,155000,USD,FT,155000,US,0,US,M
2023,SE,Data Manager,115000,USD,FT,115000,US,100,US,M
2023,SE,Data Manager,86000,USD,FT,86000,US,100,US,M
2023,SE,Data Scientist,165000,USD,FT,165000,US,0,US,M
2023,SE,Data Scientist,140000,USD,FT,140000,US,0,US,M
2023,SE,Data Analyst,139000,USD,FT,139000,US,0,US,M
2023,SE,Data Analyst,106000,USD,FT,106000,US,0,US,M
2023,EN,Data Analyst,55000,CAD,FT,40663,CA,0,CA,L
2022,SE,AI Developer,275000,USD,FT,275000,CA,0,CA,S
2023,SE,Machine Learning Researcher,50000,USD,FL,50000,UA,50,UA,S
2023,MI,Machine Learning Engineer,280700,USD,FT,280700,US,100,US,M
2023,MI,Machine Learning Engineer,150450,USD,FT,150450,US,100,US,M
2023,EN,Data Scientist,70000,CAD,FT,51753,CA,100,CA,L
2023,SE,Data Architect,250500,USD,FT,250500,US,0,US,M
2023,SE,Data Architect,159500,USD,FT,159500,US,0,US,M
2023,SE,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Engineer,115000,USD,FT,115000,US,0,US,M
2023,SE,Data Analyst,140000,USD,FT,140000,US,0,US,M
2023,SE,Data Analyst,120000,USD,FT,120000,US,0,US,M
2023,EN,Data Scientist,130001,USD,FT,130001,US,100,US,M
2023,EN,Data Scientist,71907,USD,FT,71907,US,100,US,M
2023,MI,Data Scientist,93918,USD,FT,93918,US,100,US,M
2023,MI,Data Scientist,51962,USD,FT,51962,US,100,US,M
2023,SE,Data Analyst,175000,USD,FT,175000,CA,100,CA,M
2023,SE,Data Analyst,135000,USD,FT,135000,CA,100,CA,M
2023,EN,Data Engineer,85000,USD,FT,85000,US,0,US,M
2023,EN,Data Engineer,65000,USD,FT,65000,US,0,US,M
2023,SE,Machine Learning Engineer,257000,USD,FT,257000,US,0,US,M
2023,SE,Machine Learning Engineer,147000,USD,FT,147000,US,0,US,M
2023,SE,Data Engineer,222000,USD,FT,222000,US,100,US,M
2023,SE,Data Engineer,175000,USD,FT,175000,US,100,US,M
2023,SE,Data Scientist,203000,USD,FT,203000,US,100,US,M
2023,SE,Data Scientist,133200,USD,FT,133200,US,100,US,M
2023,EN,Applied Scientist,213660,USD,FT,213660,US,0,US,L
2023,EN,Applied Scientist,130760,USD,FT,130760,US,0,US,L
2023,SE,Data Engineer,221000,USD,FT,221000,US,0,US,M
2023,SE,Data Engineer,147000,USD,FT,147000,US,0,US,M
2023,SE,Data Quality Analyst,100000,USD,FT,100000,US,0,US,M
2023,SE,Data Quality Analyst,80000,USD,FT,80000,US,0,US,M
2023,SE,Data Scientist,185900,USD,FT,185900,US,0,US,M
2023,SE,Data Scientist,129300,USD,FT,129300,US,0,US,M
2023,SE,Data Scientist,238000,USD,FT,238000,US,100,US,M
2023,SE,Data Scientist,156000,USD,FT,156000,US,100,US,M
2023,SE,Machine Learning Engineer,304000,USD,FT,304000,US,100,US,M
2023,SE,Machine Learning Engineer,199000,USD,FT,199000,US,100,US,M
2023,MI,Big Data Engineer,45000,EUR,FT,48289,ES,100,ES,M
2023,SE,Data Engineer,150000,USD,FT,150000,US,0,US,M
2023,SE,Data Engineer,130000,USD,FT,130000,US,0,US,M
2023,SE,Data Scientist,140000,USD,FT,140000,US,100,US,M
2023,SE,Data Scientist,110000,USD,FT,110000,US,100,US,M
2023,MI,Data Analyst,90000,USD,FT,90000,US,0,US,M
2023,MI,Data Analyst,75000,USD,FT,75000,US,0,US,M
2023,MI,Research Scientist,161200,GBP,FT,195895,GB,0,GB,M
2023,MI,Research Scientist,84570,GBP,FT,102772,GB,0,GB,M
2023,SE,Data Engineer,240000,USD,FT,240000,US,0,US,M
2023,SE,Data Engineer,183600,USD,FT,183600,US,0,US,M
2023,MI,Data Specialist,130000,USD,FT,130000,US,0,US,M
2023,MI,Data Specialist,80000,USD,FT,80000,US,0,US,M
2023,SE,Data Engineer,250000,USD,FT,250000,US,0,US,M
2023,SE,Data Engineer,150000,USD,FT,150000,US,0,US,M
2023,SE,Data Analytics Manager,160000,USD,FT,160000,US,100,US,M
2023,SE,Data Analytics Manager,120000,USD,FT,120000,US,100,US,M
2023,SE,Machine Learning Engineer,289076,USD,FT,289076,US,0,US,M
2023,SE,Machine Learning Engineer,202353,USD,FT,202353,US,0,US,M
2023,SE,Data Engineer,145000,USD,FT,145000,US,0,US,M
2023,SE,Data Engineer,120000,USD,FT,120000,US,0,US,M
2023,SE,Data Analyst,155000,USD,FT,155000,US,0,US,M
2023,SE,Data Analyst,106000,USD,FT,106000,US,0,US,M
2023,SE,Data Engineer,200000,USD,FT,200000,US,0,US,M
2023,SE,Data Engineer,160000,USD,FT,160000,US,0,US,M
2023,SE,Data Scientist,157750,USD,FT,157750,US,100,US,M
2023,SE,Data Scientist,104650,USD,FT,104650,US,100,US,M
2023,MI,Data Scientist,180000,USD,FT,180000,US,100,US,M
2023,MI,Data Scientist,140000,USD,FT,140000,US,100,US,M
2023,EX,Data Scientist,200000,USD,FT,200000,US,0,US,M
2023,EX,Data Scientist,145000,USD,FT,145000,US,0,US,M
2023,MI,Lead Data Analyst,68000,USD,FT,68000,US,0,US,L
2023,EN,BI Data Engineer,60000,USD,FT,60000,US,100,US,M
2023,SE,Data Scientist,45000,EUR,FT,48289,ES,0,ES,M
2023,SE,Data Scientist,36000,EUR,FT,38631,ES,0,ES,M
2023,EN,Data Engineer,85000,USD,FT,85000,US,0,US,M
2023,EN,Data Engineer,65000,USD,FT,65000,US,0,US,M
2023,MI,Data Engineer,125000,USD,FT,125000,US,0,US,M
2023,MI,Data Engineer,90000,USD,FT,90000,US,0,US,M
2023,SE,Data Analyst,105000,USD,FT,105000,US,100,US,M
2023,SE,Data Analyst,90000,USD,FT,90000,US,100,US,M
2023,SE,Analytics Engineer,179820,USD,FT,179820,US,0,US,M
2023,SE,Analytics Engineer,143860,USD,FT,143860,US,0,US,M
2023,SE,Data Analyst,135000,USD,FT,135000,US,0,US,M
2023,SE,Data Analyst,105500,USD,FT,105500,US,0,US,M
2023,EN,Research Engineer,155000,USD,FT,155000,US,0,US,M
2023,EN,Research Engineer,125000,USD,FT,125000,US,0,US,M
2023,SE,Machine Learning Engineer,241000,USD,FT,241000,US,0,US,M
